Construct,Plant,ULCount,URCount,URPercent,FileName,Construct_1,Plant_1,SampleName
C2,P3,4650,2449,26.46,Report 26-03 GIZ32.csv,C2,P3,tdm C2P3
C2,P3,5698,237,2.22,Report 26-03 GIZ32.csv,C2,P3,tdm C2P3
C2,P3,4606,191,1.74,Report 26-03 GIZ32.csv,C2,P3,tdm C2P3
C2,P8,5781,312,3.14,Report 26-03 GIZ32.csv,C2,P8,tdm C2P8
C2,P8,2809,130,2.97,Report 26-03 GIZ32.csv,C2,P8,tdm C2P8
C2,P8,3424,171,3.07,Report 26-03 GIZ32.csv,C2,P8,tdm C2P8
C3,P1,2505,5031,65.08,report02-04GIZ32.csv,C3,P1,GIZ C3P1
C2,P2,2312,1031,19.38,report02-04GIZ32.csv,C2,P2,GIZ C2P2
C2,P2,5640,1105,10.45,report02-04GIZ32.csv,C2,P2,GIZ C2P2
C2,P2,1858,1823,40.66,report02-04GIZ32.csv,C2,P2,GIZ C2P2
C3,P6,4659,6849,58.72,report02-04GIZ32.csv,C3,P6,GIZ C3P6
C3,P6,3671,7281,64.29,report02-04GIZ32.csv,C3,P6,GIZ C3P6
C7,P3,3484,7568,66.93,report02-04GIZ32.csv,C7,P3,GIZ C7P3
C7,P3,3253,7758,69.31,report02-04GIZ32.csv,C7,P3,GIZ C7P3
C7,P3,4562,6488,57.42,report02-04GIZ32.csv,C7,P3,GIZ C7P3
C4,P4,367,10370,95.39,report02-04GIZ32.csv,C4,P4,GIZ C4P4
C13,P1,7599,1853,17.24,report02-06-GIZ32.csv,C13,P1,C13P1
C13,P1,7096,2202,20.16,report02-06-GIZ32.csv,C13,P1,C13P1
C13,P1,8142,1893,16.79,report02-06-GIZ32.csv,C13,P1,C13P1
C7,P2,3500,7508,67.29,report11-04-TDMGZ32.csv,C7,P2,C7P2-GIZ32
C7,P2,4646,6726,58.42,report11-04-TDMGZ32.csv,C7,P2,C7P2-GIZ32
C6,P5,6633,4222,37.93,report11-04-TDMGZ32.csv,C6,P5,C6P5-GIZ32
C6,P5,439,4414,88.88,report11-04-TDMGZ32.csv,C6,P5,C6P5-GIZ32
