AmphaSoft Measurement Report
SW Version: 2.1.6.0
Workspace: C:/_Iris_Amphasys/Maarten/Report verzameling
Date/Time: vrijdag 04-apr-2025 15:14

Settings
Id;Sample Name;Buffer Id;Chip Id;Freq 1 [0.1-30MHz];Freq 2 [0.1-30MHz];Stop Cond Cells [0-10M];Stop Cond min [0-99];Stop Cond sec [0-59];Trig Level [0.0001-20V];Note;Done;Report;
S_4;GIZ C3P1;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_5;GIZ C2P2;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_6;GIZ C2P2;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_7;GIZ C2P2;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_8;GIZ C3P6;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_9;GIZ C3P6;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_10;GIZ C7P3;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_11;GIZ C7P3;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_12;GIZ C7P3;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_13;GIZ C4P4;AF6;D00001;2;18;10000;1;0;0.05;;1;1;
S_999;1;AF6;D01057;2;18;10000;1;0;0.05;A_1;0;1;

Results
Id;Sample Name;Date/Time;Duration[mm:ss];Concentration[cells/ml];MeanFlow[ul/min];MeasVol[ul];Accepted;Rejected[%];
S_4;GIZ C3P1;02-apr-2025 14:20:18;01:01;32825;228.8;235.5;7731; 3.9;
S_5;GIZ C2P2;02-apr-2025 14:25:29;01:00;23294;221.8;228.4;5320; 4.8;
S_6;GIZ C2P2;02-apr-2025 14:28:04;00:34;0;-65.4;-37.9;10570; 4.7;
S_7;GIZ C2P2;02-apr-2025 14:31:01;01:00;0;-575.3;-592.3;4483; 3.7;
S_8;GIZ C3P6;02-apr-2025 14:34:30;00:29;187438;127.1;62.2;11663; 3.1;
S_9;GIZ C3P6;02-apr-2025 14:37:01;00:23;220420;128.8;51.4;11325; 3.4;
S_10;GIZ C7P3;02-apr-2025 14:41:02;00:21;248543;123.3;45.5;11308; 3.5;
S_11;GIZ C7P3;02-apr-2025 14:42:26;00:27;202086;120.7;55.4;11193; 3.6;
S_12;GIZ C7P3;02-apr-2025 14:47:04;00:23;0;-901.1;-359.5;11299; 3.6;
S_13;GIZ C4P4;02-apr-2025 14:49:58;00:27;252562;93.8;43.0;10871; 3.6;

Gating Statistics
Cross Gating Freq 2
Id;Sample Name;UL-Count;UL[%];UL[cells/ml];UR-Count;UR[%];UR[cells/ml];LR-Count;LR[%];LR[cells/ml];LL-Count;LL[%];LL[cells/ml];
S_4;GIZ C3P1;2505;32.40;10635;5031;65.08;21361;11;0.14;46;184;2.38;781;
S_5;GIZ C2P2;2312;43.46;10123;1031;19.38;4514;130;2.44;569;1847;34.72;8087;
S_6;GIZ C2P2;5640;53.36;0;1105;10.45;0;123;1.16;0;3702;35.03;0;
S_7;GIZ C2P2;1858;41.45;0;1823;40.66;0;90;2.01;0;712;15.88;0;
S_8;GIZ C3P6;4659;39.95;74875;6849;58.72;110071;31;0.27;498;124;1.06;1992;
S_9;GIZ C3P6;3671;32.42;71449;7281;64.29;141711;17;0.15;330;356;3.14;6928;
S_10;GIZ C7P3;3484;30.81;76576;7568;66.93;166340;9;0.08;197;247;2.18;5428;
S_11;GIZ C7P3;3253;29.06;58732;7758;69.31;140068;10;0.09;180;172;1.54;3105;
S_12;GIZ C7P3;4562;40.38;0;6488;57.42;0;14;0.12;0;235;2.08;0;
S_13;GIZ C4P4;367;3.38;8526;10370;95.39;240922;22;0.20;511;112;1.03;2602;
